Asignatura,Codigo
ESTRUCTURAS METALICAS,320
PATOLOGIA Y TERAPIA DE LAS CONSTRUCCIONES,321
EVALUACION SOCIAL,322
HIDROGEOLOGIA,323
INTRODUCCION A LA ENERGIA FOTOVOLTAICA,324
INTRODUCCION A LA ENERGIA EOLICA,325
INGENIERIA DE CONFIABILIDAD Y MANTENIMIENTO,326
CABLEADO ESTRUCTURADO,327
PROCESAMIENTO DIGITAL DE IMAGENES,328
SISTEMAS DISTRIBUIDOS,329
TOPOGRAFIA,330
CIENCIAS DE LOS MATERIALES,331
DISEÑO DE SISTEMAS DE MANUFACTURA,332
CIENCIA Y TECNOLOGIA DE LOS MATERIALES,333
ELECTROMAGNETISMO 1,334
SISTEMA DE REDES 1,335
SISTEMAS DE REDES 2,336
FOTOGRAMETRIA 2,337
CUENCAS HIDROLOGICAS Y EL DESARROLLO TERRITORIAL PARA LA GES,338
GESTION Y CONSERVACION DE RECURSOS NATURALES,339
GESTION INTEGRAL DE RESIDUOS,340
PASANTIA,341
SEÑALES Y SISTEMAS,342
CONTABILIDAD Y FINANZAS,343
HORMIGON PRETENSADO,344
IMPACTO AMBIENTAL EN OBRAS VIALES,345
FOTOGRAMETRIA DIGITAL,346
DISEÑO DE MAQUINA,347
ESTRUCTURA DE MADERA Y METAL,348
DISEÑO DE INSTALACIONES P/ INDUSTRIAS 1,349
INVESTIGACION DE OPERACIONES 2,350
ELECTRONICA BASICA INDUSTRIAL,351
TECNOLOGIA  MECANICA  1,352
MEDICION E INSTRUMENTACION,353
SISTEMA DE CONTROL  AUTOMATICO  1,354
SISTEMAS DE MODULACION 1,355
TEORIA DE CIRCUITOS 3,356
SISTEMAS DE CONTROL,357
PRINCIPIOS DE ECONOMIA,358
ACTUADORES Y MAQUINAS ELECTRICAS,359
PROCESOS DE SOLDADURA,360
MECANIZADO CONVENCIONAL,361
MOTORES Y COMPONENTES AUTOM.,362
INT. A LA PROGRAMACION DE CNC,363
ANALISIS DE COSTOS,364
ECONOMIA AMBIENTAL,365
INFRAESTRUCTURA DE DATOS ESPECIALES,366
INGLES TECNICO,367
ELECTROTECNIA E INSTALACIONES ELECTRICAS,368
DISEÑO DE INSTALACIONES P/ INSDUSTRIAS 2,369
PLANEAMIENTO Y CONTROL DE PRODUCCION,370
INVESTIGACION DE OPERACIONES 3,371
TECNOLOGIA  MECANICA  2,372
MAQUINAS TERMICAS  1,373
MAQUINAS  ELECTRICAS  1,374
SISTEMAS DE MODULACION 2,375
MICROCONTROLADORES,376
SISTEMAS DE TELEFONIA 1,377
VIBRACIONES MECANICAS,378
SISTEMAS DE CONTROL AUTOMATICO 1,379
SEGURIDAD EN EL TRABAJO,380
APLIC. SIG EN EL ORDENAMIENTO RURAL Y URBANO,381
HIDROLOGIA 2,382
CAMBIO CLIMATICO PARA LA INGENIERIA,383
INTROD. A LA INGENIERIA NAVAL,384
PROYECTO,385
INSTALACIONES Y EQUIPOS DE EDIFICIOS,386
SANEAMIENTO Y MEDIO AMBIENTE 1,387
SISTEMA DE PLANIFICACION ESTRATEGICA,388
INSTALACIONES  INDUSTRIALES,389
DISTRIBUCION DE  ENERGIA  ELECTRICA,390
MAQUINAS  TERMICAS  2,391
INSTALACIONES  ELECTRICAS ,392
SISTEMAS DE TELEFONIA 2,393
PROPAGACION Y ANTENAS,394
MONITOREO AMBIENTAL,395
MAQUINAS DE FLUJO,396
TECNOLOGIA DE ENERGIA ALTERNATIVAS,397
SISTEMAS DE CONTROL AUTOMATICO 2,398
INSTRUMENTOS PARA CONTROL Y AUTOMATIZACION,399
FUNDAMENTOS DE ELECTRONICA INDUSTRIAL,400
FUNDAMENTO DE LA MECANICA NAVAL,401
PLANIFICACION ESTRATEGICA PARA LOS PROYECTOS AMBIENTALES,402
APLICACIONES SIG  EN ESTUDIOS URBANOS,403
SISTEMA DE REFRIGERACION APLICADOS ,404
SIST. DE COMUNICACIONES CELULARES 2,405
ESTRATEGIAS Y TECNICAS DE NEGOCIACION,406
SANEAMIENTO Y MEDIO AMBIENTE 2,407
PROGRAMACION Y CONTROL DE OBRAS,408
INSTRUMENTACIÓN Y AUTOMATIZACION,409
INFORMATICA,410
TRANSMISION DE ENERGIA  ELECTRICA,411
ECONOMIA  Y  EVALUACION DE PROYECTO,412
INSTRUMENTACION PARA TELEC.,413
SISTEMAS DE TELEVISION,414
PLANIFICACION Y GESTIÓN DE REDES,415
COMUNICACIONES MOVILES,416
PROTOCOLOS DE COMUNICACION,417
GESTION DE LA CALIDAD Y MEDIO AMBIENTE,418
INTR. AL PROYECTO Y DISEÑO DE TORRES DE TELECOMUNICACION,419
DISEÑO DE GEODATABASE,420
SIMULACION HIDROLOGICA E HIDRAULICA,421
PLANIFICACION ESTRATEGICA PARA EL PROYECTO TERRITORIAL,422
BASE DE DATOS,423
INTELIGENCIA ARTIFICIAL,424
PUERTOS,425
OBRAS FLUVIALES,426
FORMULACION Y EVALUACION DE PROYECTO,427
PROYECTO Y DISEÑO,428
ACONDICIONAMIENTO DEL AIRE Y REFRIGERACION,429
REDES INDUSTRIALES,430
PROYECTOS ESTRUCTURALES,431
PROCEDIMIENTO DE EVALUACION DE IMPACTO AMBIENTAL,432
DISEÑO Y DESARROLLO DE PROYECTOS URBANOS,433
MERCADOS ELECTRICOS,434
PLANIFICACION DE SISTEMAS ELECTRICOS,435
SISTEMAS OPERATIVOS,436
SIMULACION DE SISTEMAS PRODUCTIVOS,437
INGENIERIA DEL TRAFICO,438
DISEÑO Y DESARROLLO DE PROYECTOS URBANOS 2,439
ANALISIS DE SISTEMAS DE POTENCIA ,440
SIG APLICADO AL AMBIENTE,441
GEOGRAFIA TURISTICA,442
TERRITORIO Y POBLACION,443
LABORATORIO DE REDES,444
AERODINAMICA DE LAS CONSTRUCCIONES,445
DESARROLLOS INMOBILIARIOS,446
ALGORITMOS,447
INTRODUCCION A LA GESTION DE ACTIVOS,448
LEAN PRODUCTION,449
CONTROL NUMERICO COMPUTARIZADO,450
ALGORITMOS 1,451
RECUBRIMIENTO METALICO POR GALVANIZADO,452
INTRODUCCION A LA MINERIA,453
COMPORTAMIENTO EXPERIMENTAL DE ELEMENTOS DE H° A°,454
MECANICA DE SUELO Y ROCA,455
PROTECCIONES ELECTRICAS DE POTENCIA,456
ANALISIS DE NEGOCIOS,457
ALGORITMOS 2,458
INTRODUCCION A LA ELECTRONICA MEDICA,459
PROCESOS DE FABRICACION,460
